USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.2 185328  3600 ?        Ss   1月05   0:10 /sbin/init splash
root        197  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_15]
root        198  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_15]
root        199  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_16]
root        200  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_16]
root        201  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_17]
root        202  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_17]
root        203  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_18]
root        204  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_18]
root        205  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_19]
root        206  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_19]
root        207  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_20]
root        208  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_20]
root        209  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_21]
root        210  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_21]
root        211  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_22]
root        212  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_22]
root        213  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_23]
root        214  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_23]
root        215  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_24]
root        216  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_24]
root        217  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_25]
root        218  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_25]
root        219  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_26]
root        220  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_26]
root        221  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_27]
root        222  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_27]
root        223  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_28]
root        224  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_28]
root        225  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_29]
root        226  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_29]
root        227  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_30]
root        228  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_30]
root        229  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_31]
root        230  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_31]
root        231  0.0  0.0      0     0 ?        S    1月05   0:00 [scsi_eh_32]
root        232  0.0  0.0      0     0 ?        S<   1月05   0:00 [scsi_tmf_32]
root        260  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root        261  0.0  0.0      0     0 ?        S<   1月05   0:00 [ttm_swap]
root        278  0.0  0.0      0     0 ?        S<   1月05   0:00 [bioset]
root        285  0.0  0.0      0     0 ?        S<   1月05   0:02 [kworker/0:1H]
root        289  0.0  0.0      0     0 ?        S<   1月05   0:13 [kworker/1:1H]
root        326  0.0  0.0      0     0 ?        S    1月05   0:05 [jbd2/sda1-8]
root        327  0.0  0.0      0     0 ?        S<   1月05   0:00 [ext4-rsv-conver]
root        359  0.0  0.1  29192  1568 ?        Ss   1月05   0:05 /lib/systemd/systemd-journald
root        380  0.0  0.0      0     0 ?        S<   1月05   0:00 [rpciod]
root        381  0.0  0.0      0     0 ?        S<   1月05   0:00 [xprtiod]
root        389  0.0  0.0  45888  1116 ?        Ss   1月05   0:02 /lib/systemd/systemd-udevd
root        482  0.0  0.0      0     0 ?        S<   1月05   0:00 [nfit]
systemd+    492  0.0  0.0 102384  1168 ?        Ssl  1月05   0:00 /lib/systemd/systemd-timesyncd
root        547  0.0  0.0  23536     0 ?        Ss   1月05   0:00 /usr/sbin/rpc.idmapd
root        882  0.0  0.2 298852  3064 ?        Ssl  1月05   0:06 /usr/lib/accountsservice/accounts-daemon
root        883  0.0  0.1 337392  1564 ?        Ssl  1月05   0:00 /usr/sbin/ModemManager
avahi       884  0.0  0.0  44920  1260 ?        Ss   1月05   0:00 avahi-daemon: running [codeman.local]
syslog      885  0.0  0.0 256396   620 ?        Ssl  1月05   0:01 /usr/sbin/rsyslogd -n
root        888  0.0  0.1 173476  2072 ?        Ssl  1月05   0:41 /usr/sbin/thermald --no-daemon --dbus-enable
root        899  0.0  0.0   4400   316 ?        Ss   1月05   0:00 /usr/sbin/acpid
message+    901  0.0  0.1  44280  2860 ?        Ss   1月05   0:06 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi       919  0.0  0.0  44788     4 ?        S    1月05   0:00 avahi-daemon: chroot helper
root       1014  0.0  0.4 463544  6312 ?        Ssl  1月05   0:05 /usr/sbin/NetworkManager --no-daemon
root       1015  0.0  0.0  36076  1176 ?        Ss   1月05   0:00 /usr/sbin/cron -f
root       1017  0.0  0.1  28660  1724 ?        Ss   1月05   0:01 /lib/systemd/systemd-logind
root       1019  0.0  0.6 221784  9804 ?        Ssl  1月05   0:16 /usr/lib/snapd/snapd
root       1029  0.0  0.3 304828  5444 ?        Ssl  1月05   0:04 /usr/lib/policykit-1/polkitd --no-debug
root       1051  0.0  0.0  65520  1192 ?        Ss   1月05   0:00 /usr/sbin/sshd -D
root       1055  0.0  0.0  24044   600 ?        Ss   1月05   0:00 /usr/sbin/vsftpd /etc/vsftpd.conf
root       1072  0.0  0.0  47628   736 ?        Ss   1月05   0:00 /sbin/rpcbind -f -w
root       1083  0.0  0.0  37976     4 ?        Ss   1月05   0:00 /usr/sbin/rpc.mountd --manage-gids
root       1095  0.0  0.0      0     0 ?        S    1月05   0:00 [lockd]
root       1097  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1098  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1099  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1100  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1101  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1102  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1103  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1104  0.0  0.0      0     0 ?        S    1月05   0:00 [nfsd]
root       1150  0.0  0.1 365928  2220 ?        SLsl 1月05   0:01 /usr/sbin/lightdm
root       1159  0.0  0.0  19584   984 ?        Ss   1月05   0:24 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root       1186  0.3  1.7 497440 26008 tty7     Ssl+ 1月05  11:01 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
nobody     1212  0.0  0.0  59940   780 ?        S    1月05   0:01 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root       1440  0.0  0.0 266724    80 ?        Ssl  1月05   0:00 /usr/sbin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
root       1462  0.1  0.1 173896  3012 ?        Sl   1月05   4:19 /usr/sbin/vmtoolsd
root       1492  0.0  0.1  71056  1760 ?        S    1月05   0:00 /usr/lib/vmware-vgauth/VGAuthService -s
root       1552  0.0  0.6 510276  9628 ?        Sl   1月05   2:38 //usr/lib/vmware-caf/pme/bin/ManagementAgentHost
whoopsie   1556  0.0  0.1 452204  2396 ?        Ssl  1月05   0:00 /usr/bin/whoopsie -f
root       1560  0.0  0.0  23008   512 tty1     Ss+  1月05   0:00 /sbin/agetty --noclear tty1 linux
root       1612  0.0  0.1 230304  2176 ?        Sl   1月05   0:00 lightdm --session-child 12 19
root       1671  0.0  0.1 354288  2152 ?        Ssl  1月05   0:00 /usr/lib/upower/upowerd
rtkit      1679  0.0  0.0 183544  1200 ?        SNsl 1月05   0:08 /usr/lib/rtkit/rtkit-daemon
colord     1697  0.0  0.1 320776  2928 ?        Ssl  1月05   0:00 /usr/lib/colord/colord
jylee      1730  0.0  0.1  45248  1580 ?        Ss   1月05   0:00 /lib/systemd/systemd --user
